aarsage..e.1	orsaka..av.1
adalkona..e.1	aþalkona..nn.1
adralethes..e.1	annarledhis..ab.1
adru_kost..e.1	annurkost..ab.1
af_visning..e.1	avisning..nn.1
afæfli..e.1	ofæfli..nn.1
aldra_göta_þing..e.1	þing..nn.1
allar_handa..e.1	aldrahanda..av.1
allandæ..e.1	landi..nn.1
allimæn..e.1	maþer..nn.1
allköp..e.1	aþalköps_fastar..nn.1
alnbugi..e.1	alboghi..nn.1
als..e.1	alz..ab.1
alteris_vigsl..e.1	altara_vigsl..nn.1
alzvaldugher..e.1	allvaldugher..av.1
andfrid..e.1	anfriþer..nn.1
andra_kost..e.1	annurkost..ab.1
andru_kost..e.1	annurkost..ab.1
anit..e.1	anyt..nn.1
annarstaþ..e.1	annan_staþ..ab.1
annur_handa..e.1	andra_handa..av.1
ansker..e.1	ænsker..av.1
ansvara..e.1	andsvara..vb.1
anvarþa..e.1	andvarþa..vb.1
arbörsth..e.1	armbörst..nn.1
arfda_luter..e.1	ærfþa_loter..nn.1
art..e.1	æria..vb.1
arva_bolker..e.1	arver..nn.1
asökn..e.1	asokn..nn.1
ater_gialda..e.1	ater_gælda..vb.1
ater_legha..e.1	aterlægha..nn.1
at_lythæ..e.1	at_lita..vb.1
avat..e.1	afat..nn.1
aþulkunæ..e.1	aþalkona..nn.1
aþuls_mans..e.1	aþalman..nn.1
bain..e.1	ben..nn.1
banorþ..e.1	bana_orþ..nn.1
barnalaus..e.1	barnlös..av.1
bastuva..e.1	baþstova..nn.1
benk..e.1	bænker..nn.1
berg..e.1	biærgh..nn.1
bezl..e.1	beszl..nn.1
biargh..e.1	biærgh..nn.1
biauþa..e.1	biuþa..vb.1
bisætia..e.1	bysætia..vb.1
bla..e.1	blar..av.1
blecka..e.1	blika..vb.1
blöia..e.1	blea..nn.1
boden..e.1	butn..nn.1
bolker..e.1	balker..nn.1
bolstaþa_mæn..e.1	bolstaþsmaþer..nn.1
bolster..e.1	bulster..nn.1
bond..e.1	butn..nn.1
borker..e.1	barker..nn.1
bosdræt..e.1	bodræt..nn.1
brauþ..e.1	bröþ..nn.1
bresta..e.1	brista..vb.1
brimsigna..e.1	primsigna..vb.1
brofal..e.1	broa_fall..nn.1
brokar..e.1	broa_kar..nn.1
brud..e.1	bruþ..nn.1
brustok..e.1	brytstokker..nn.1
brutstok..e.1	brytstokker..nn.1
brymsigna..e.1	primsigna..vb.1
brysta..e.1	brista..vb.1
bræsta..e.1	brista..vb.1
brökær..e.1	brok..nn.1
bröt_reþ..e.1	reþer..av.1
bröþra_synir..e.1	broþir..nn.1
bud..e.1	buþ..nn.1
bughi..e.1	boghi..nn.1
burg..e.1	borgh..nn.1
burghan..e.1	borghan..nn.1
burghit..e.1	biærgha..vb.1
burin..e.1	borin..av.1
burt..e.1	bort..ab.1
burtu..e.1	borto..ab.1
byltugher..e.1	biltugher..av.1
byn..e.1	bön..nn.1
byrghia..e.1	biærgha..vb.1
byria..e.2	biærgha..vb.1
byta..e.2	böta..vb.1
byþa..e.1	biuþa..vb.1
bything..e.1	bya_þing..nn.1
bænbrutin..e.1	benbrutin..av.1
bæst..e.1	bæter..ab.1
bæster..e.1	bætri..av.1
bölia..e.1	bylia..vb.1
börker..e.1	barker..nn.1
börn..e.1	barn..nn.1
börþar_man..e.1	byrþaman..nn.1
deya..e.1	deghia..nn.1
dikur..e.1	diker..nn.1
dirvas..e.1	dyrvas..vb.1
diaupr..e.1	diuper..av.1
diokn..e.1	dæk..nn.1
doms_bref..e.1	dombref..nn.1
dropa_rum..e.1	drups_rum..nn.1
drytning..e.1	drotning..nn.1
dræpari..e.1	drapari..nn.1
duladrap..e.1	dulghadrap..nn.1
dy..e.1	dyi..nn.1
dyger..e.1	digher..av.1
dygr..e.1	dögher..nn.1
dyl..e.1	dul..nn.1
dyld..e.1	dild..nn.1
dyls_mal..e.1	dulsmal..nn.1
dyma..e.1	döma..vb.1
dynis_dag..e.1	dyonisii_dagher..nn.1
dyp..e.1	diup..nn.1
dænsker..e.1	dansker..av.1
döa..e.1	döia..vb.1
döghn..e.1	döia..vb.1
dögha..e.1	dyghn..nn.1
dös..e.1	dys..nn.1
eghi..e.1	eigh..ab.1
egho_loter..e.1	ægho_luter..nn.1
ekorni..e.1	ikorni..nn.1
eldas..e.1	ællas..vb.1
elin..e.1	alin..nn.1
ellighær..e.1	ællighær..ab.1
elpti..e.1	æfla..vb.1
elzter..e.1	ældri..av.1
emellom..e.1	mællum..pp.1
enist..e.1	enost..ab.1
enonga..e.1	enunga..av.1
ensker..e.1	ænsker..av.1
ensoman..e.1	ensamin..av.1
enust..e.1	enost..ab.1
enæst..e.1	enost..ab.1
ey..e.1	eigh..ab.1
eþgænct..e.1	eþganger..av.1
edhsfört..e.1	eþfört..av.1
eþsöra_mal..e.1	eþsöris_mal..nn.1
faiger..e.1	fegher..av.1
fal..e.1	fall..nn.1
falling..e.1	falda..nn.1
fara_nöti..e.1	farunöti..nn.1
feþgar..e.1	faþghar..nn.1
fileþi..e.1	fælaþi..nn.1
fingin_fæst..e.1	fangen_fæst..av.1
fir..e.1	fyr..ab.1
firibiuda..e.1	forbiuþa..vb.1
firra..e.1	fyrra..ab.1
fiændi..e.1	fiandi..nn.1
fiæla..e.1	fiala..vb.1
fiæmir..e.1	fiærran..ab.1
fliauga..e.1	flygha..vb.1
flud..e.1	floþ..nn.1
flukker..e.1	flokker..nn.1
fluti..e.2	floti..nn.1
foghlaren..e.1	fuglaren..nn.1
forboþa..e.1	forbuþa..vb.1
for_evne..e.1	foræmna..vb.1
forgöra..e.1	firigæra..vb.1
forlata..e.1	firilata..vb.1
forneghæ_fæ..e.1	förninga_fæ..nn.1
forsitia..e.1	firisitia..vb.1
fortabe..e.1	fortappa..vb.1
fortigia..e.1	forþighia..vb.1
forvarder..e.1	forværda..vb.1
forvunnin..e.1	forvinna..vb.1
fotarum..e.1	foter..nn.1
framaleþ..e.1	framleþis..ab.1
fram_sæghia..e.1	fram_sighia..vb.1
framt..e.1	framber..nn.1
friþir_bot..e.1	friþbot..nn.1
